x_log_signed_con_primary_energy_twh__last,con_fossil_share_elec_pct__last,x_log_signed_con_electricity_access_pct__last,coverage,density,x_log_signed_con_primary_energy_twh__last__cutoff,con_fossil_share_elec_pct__last__cutoff,x_log_signed_con_electricity_access_pct__last__cutoff,comparators,selected_density_threshold,selected_coverage_threshold,selected_solution
0.4253268346196079,0.1005670802547625,0.8995242074638881,0.806910569105691,0.853763440860215,4.340935318625395,9.253684225542864,4.1492305433118375,"['>', '>', '<']",0.85,0.6,True
0.2190033564473143,0.1035355000013546,0.8999988744503755,0.8516260162601627,0.6779935275080906,4.1631646846651424,9.435505643361273,4.149499457629609,"['>', '>', '<']",,,False
0.2190033564473143,0.1041666993085374,0.8997516518889678,0.8516260162601627,0.6779935275080906,4.1631646846651424,9.486267915939438,4.149359397991313,"['>', '>', '<']",,,False
0.2239699469728433,0.1031398042576607,0.8999771538986132,0.8475609756097561,0.6791530944625407,4.1681964070653095,9.41223645979786,4.149487152229139,"['>', '>', '<']",,,False
0.2247180345505878,0.105034180935473,0.8997772316609984,0.8475609756097561,0.6791530944625407,4.168207826437718,9.558866556380655,4.149373889765841,"['>', '>', '<']",,,False
0.2239699469728433,0.1031398042576607,0.8999961183770122,0.8475609756097561,0.6791530944625407,4.1681964070653095,9.41223645979786,4.149497896224226,"['>', '>', '<']",,,False
0.2559142068987979,0.1034574245728384,0.8999565062451946,0.8455284552845529,0.7027027027027027,4.20369456168876,9.43091435951026,4.149475454660547,"['>', '>', '<']",,,False
0.2545446119765678,0.103450328538204,0.8998119702529019,0.8455284552845529,0.7027027027027027,4.200863241107138,9.430497071896957,4.149393570310324,"['>', '>', '<']",,,False
0.2636629149788662,0.1028459532629847,0.8998603888690059,0.8434959349593496,0.7094017094017094,4.21176168367357,9.394956332719472,4.149421001034364,"['>', '>', '<']",,,False
0.2639124576976712,0.1034967730193714,0.8999640883243477,0.8434959349593496,0.7094017094017094,4.2117730133668045,9.433228274279127,4.149479750155496,"['>', '>', '<']",,,False
0.2639341882163774,0.1034967730193714,0.8998542107273728,0.8434959349593496,0.7094017094017094,4.2117739999718715,9.433228274279127,4.149417500915776,"['>', '>', '<']",,,False
0.3103104902538041,0.1001688044075751,0.899807496674258,0.8414634146341463,0.7527272727272727,4.249582016641882,9.24532418592063,4.149391035882224,"['>', '>', '<']",,,False
0.3103104902538041,0.1020256961323028,0.899807496674258,0.8414634146341463,0.7527272727272727,4.249582016641882,9.376279162113637,4.149391035882224,"['>', '>', '<']",,,False
0.3171417813187163,0.1053724018987896,0.8995329496500805,0.8394308943089431,0.7591911764705882,4.253701374312797,9.57977669018568,4.149235496045233,"['>', '>', '<']",,,False
0.3171417813187163,0.1035661088296351,0.8995329496500805,0.8394308943089431,0.7591911764705882,4.253701374312797,9.437305618355367,4.149235496045233,"['>', '>', '<']",,,False
0.3171417813187163,0.1015972561169321,0.8995329496500805,0.8394308943089431,0.7591911764705882,4.253701374312797,9.356158577657771,4.149235496045233,"['>', '>', '<']",,,False
0.3462938164935399,0.1018430209681509,0.899944219683884,0.8373983739837398,0.7817836812144212,4.280130115420698,9.373025926438178,4.149468493923132,"['>', '>', '<']",,,False
0.3462779293046382,0.1050354351692413,0.8997254993886755,0.8373983739837398,0.7817836812144212,4.280122553640754,9.558944097984408,4.149344581747558,"['>', '>', '<']",,,False
0.3495944686758696,0.101533287992819,0.8995143412301873,0.8353658536585366,0.7843511450381679,4.285141983593958,9.34897294815147,4.149224953768894,"['>', '>', '<']",,,False
0.3495944686758696,0.1014891256993392,0.8999491017326069,0.8353658536585366,0.7843511450381679,4.285141983593958,9.344012135504649,4.149471259762845,"['>', '>', '<']",,,False
0.3515584121043529,0.1027301273929391,0.8998210003369935,0.8333333333333334,0.7854406130268199,4.286847011278249,9.388824276927949,4.149398686147263,"['>', '>', '<']",,,False
0.3515584121043529,0.1027030181770292,0.8998259995848822,0.8333333333333334,0.7854406130268199,4.286847011278249,9.388341492808165,4.149401518384122,"['>', '>', '<']",,,False
0.3516289129643088,0.1027301273929391,0.8998210003369935,0.8333333333333334,0.7854406130268199,4.286877660095018,9.388824276927949,4.149398686147263,"['>', '>', '<']",,,False
0.3515584121043529,0.1036721098211018,0.8998210003369935,0.8333333333333334,0.7854406130268199,4.286847011278249,9.4435390857799,4.149398686147263,"['>', '>', '<']",,,False
0.3548154118183789,0.1011725899662623,0.899626241425787,0.8313008130081301,0.7880539499036608,4.28823937257387,9.308455230641032,4.149288348876654,"['>', '>', '<']",,,False
0.354744910958423,0.1011725899662623,0.899626241425787,0.8313008130081301,0.7880539499036608,4.288212452044034,9.308455230641032,4.149288348876654,"['>', '>', '<']",,,False
0.373807497990763,0.1033545618923603,0.899978249896772,0.8292682926829268,0.8047337278106509,4.302647630821822,9.424865442805912,4.149487773147816,"['>', '>', '<']",,,False
0.373807497990763,0.1033545618923603,0.8999766453941459,0.8292682926829268,0.8047337278106509,4.302647630821822,9.424865442805912,4.1494868641447855,"['>', '>', '<']",,,False
0.374184772597678,0.1033545618923603,0.8999766453941459,0.8292682926829268,0.8047337278106509,4.302675389257796,9.424865442805912,4.1494868641447855,"['>', '>', '<']",,,False
0.3807635635957931,0.1018430209681509,0.8999429975144034,0.8272357723577236,0.8107569721115537,4.30723466530349,9.373025926438178,4.149467801524289,"['>', '>', '<']",,,False
0.3807635635957931,0.1014699574657119,0.8999429975144034,0.8272357723577236,0.8107569721115537,4.30723466530349,9.34185894081518,4.149467801524289,"['>', '>', '<']",,,False
0.381430998436585,0.1054080378137635,0.8998682300513151,0.8272357723577236,0.8107569721115537,4.307357643796043,9.5819798408806,4.149425443319695,"['>', '>', '<']",,,False
0.3807635635957931,0.1018430209681509,0.899944219683884,0.8272357723577236,0.8107569721115537,4.30723466530349,9.373025926438178,4.149468493923132,"['>', '>', '<']",,,False
0.3867371228083142,0.1041490833285763,0.8999925423958511,0.8252032520325203,0.8185483870967742,4.313781148513926,9.484635154313878,4.149495870314353,"['>', '>', '<']",,,False
0.3867371228083142,0.1055695280572141,0.8998998021015361,0.8252032520325203,0.8185483870967742,4.313781148513926,9.591963795055545,4.149443329915114,"['>', '>', '<']",,,False
0.3867371228083142,0.1056030205350578,0.8999925423958511,0.8252032520325203,0.8185483870967742,4.313781148513926,9.594034430140685,4.149495870314353,"['>', '>', '<']",,,False
0.391651659118205,0.100629104659872,0.8998112520311445,0.823170731707317,0.823170731707317,4.317910604658469,9.254986153560653,4.149393163414291,"['>', '>', '<']",,,False
0.391651659118205,0.10101713022172,0.8998112520311445,0.823170731707317,0.823170731707317,4.317910604658469,9.29099221850941,4.149393163414291,"['>', '>', '<']",,,False
0.3914150427237585,0.1006975848531038,0.8999972569897134,0.823170731707317,0.823170731707317,4.3176921319849715,9.256423592292624,4.149498541285429,"['>', '>', '<']",,,False
0.391651659118205,0.100629104659872,0.8999807640496088,0.823170731707317,0.823170731707317,4.317910604658469,9.254986153560653,4.149489197497337,"['>', '>', '<']",,,False
0.4027788161215425,0.1002989464248027,0.8999643866611329,0.8211382113821138,0.8364389233954451,4.32429411304348,9.2480559418838,4.149479919173008,"['>', '>', '<']",,,False
0.4027788161215425,0.1003328397894019,0.8999580391360804,0.8211382113821138,0.8364389233954451,4.32429411304348,9.248767383144877,4.149476323093193,"['>', '>', '<']",,,False
0.4027403867749312,0.1024033379139717,0.8999456015805462,0.8211382113821138,0.8364389233954451,4.324291801639607,9.383004530186367,4.149469276812629,"['>', '>', '<']",,,False
0.4086277007617743,0.1011290530283944,0.8995329640791438,0.8191056910569106,0.8413361169102297,4.327911657158649,9.303564665071155,4.149235504219768,"['>', '>', '<']",,,False
0.4080924677456016,0.1012838637753237,0.8999989627233951,0.8191056910569106,0.8413361169102297,4.3278876259692325,9.320954774386538,4.149499507639152,"['>', '>', '<']",,,False
0.4085631113359813,0.1001755337345567,0.8999883821875567,0.8191056910569106,0.8413361169102297,4.327908757186714,9.245465438373156,4.149493513420768,"['>', '>', '<']",,,False
0.4121650545474833,0.1005731512707554,0.8997057582476045,0.8170731707317073,0.8445378151260504,4.329811625362033,9.25381165966825,4.149333397747756,"['>', '>', '<']",,,False
0.4122181320265925,0.1036513712260247,0.8999801360723093,0.8170731707317073,0.8445378151260504,4.3298470230778605,9.442319537216676,4.14948884172773,"['>', '>', '<']",,,False
0.4121156748395757,0.1010104992866633,0.8998828405674072,0.8170731707317073,0.8445378151260504,4.329778693713856,9.29024735623217,4.149433720653234,"['>', '>', '<']",,,False
0.4121650545474833,0.1005720574972382,0.8997994745177023,0.8170731707317073,0.8445378151260504,4.329811625362033,9.253788700731608,4.149386491069084,"['>', '>', '<']",,,False
0.4122247622878476,0.1082355683537959,0.899976619233969,0.8130081300813008,0.8456659619450317,4.3298514448421885,9.755243810206528,4.149486849324193,"['>', '>', '<']",,,False
0.4122247622878476,0.1082355683537959,0.8999934966258002,0.8130081300813008,0.8456659619450317,4.3298514448421885,9.755243810206528,4.1494964109167185,"['>', '>', '<']",,,False
0.4189727407402161,0.1002465911398421,0.8995329640791438,0.8109756097560976,0.8471337579617835,4.335420717498397,9.246956974271791,4.149235504219768,"['>', '>', '<']",,,False
0.4189727407402161,0.1003659348024702,0.8995329640791438,0.8109756097560976,0.8471337579617835,4.335420717498397,9.249462066547103,4.149235504219768,"['>', '>', '<']",,,False
0.4253268346196079,0.1005670802547625,0.899892261320662,0.806910569105691,0.853763440860215,4.340935318625395,9.253684225542864,4.149439057816986,"['>', '>', '<']",,,False
0.4253268346196079,0.1005670802547625,0.8995348666536624,0.806910569105691,0.853763440860215,4.340935318625395,9.253684225542864,4.14923658209024,"['>', '>', '<']",,,False
0.4253268346196079,0.1004861563060849,0.8999999150476904,0.806910569105691,0.853763440860215,4.340935318625395,9.251985585210768,4.149500047161903,"['>', '>', '<']",,,False
0.4253268346196079,0.1005670802547625,0.8997287838766452,0.806910569105691,0.853763440860215,4.340935318625395,9.253684225542864,4.1493464425170385,"['>', '>', '<']",,,False
0.4338210761232121,0.1000905014911431,0.8997933694136978,0.8048780487804879,0.8627450980392157,4.346691874540076,9.243680562566286,4.149383032328693,"['>', '>', '<']",,,False
0.4333103586095336,0.1002371560821984,0.8997926098063462,0.8048780487804879,0.8627450980392157,4.34650960989256,9.246758926972923,4.149382601986372,"['>', '>', '<']",,,False
0.4338210761232121,0.1026439709129953,0.8998194995795632,0.8048780487804879,0.8627450980392157,4.346691874540076,9.387289928591509,4.149397835919267,"['>', '>', '<']",,,False
0.4364199483407622,0.1010886483381762,0.8998351820499324,0.8028455284552846,0.8643326039387309,4.348715012217841,9.299025949292783,4.14940672054984,"['>', '>', '<']",,,False
0.4364199483407622,0.1010886483381762,0.8999526636730947,0.8028455284552846,0.8643326039387309,4.348715012217841,9.299025949292783,4.149473277718219,"['>', '>', '<']",,,False
0.4364199483407622,0.1010886483381762,0.899842160488038,0.8028455284552846,0.8643326039387309,4.348715012217841,9.299025949292783,4.149410674062462,"['>', '>', '<']",,,False
0.4364199483407622,0.1010886483381762,0.8998390427485242,0.8028455284552846,0.8643326039387309,4.348715012217841,9.299025949292783,4.149408907761417,"['>', '>', '<']",,,False
0.4419702109843695,0.1024787817739342,0.8998687980192346,0.8008130081300813,0.869757174392936,4.352267110835178,9.384348099017211,4.149425765092032,"['>', '>', '<']",,,False
0.4427388357570259,0.1029609233174358,0.8999878340797443,0.8008130081300813,0.869757174392936,4.3537003215865315,9.4017172325875,4.149493202899829,"['>', '>', '<']",,,False
0.4417857534356695,0.1029322345136395,0.899976619233969,0.8008130081300813,0.869757174392936,4.35185631164286,9.40003016606634,4.149486849324193,"['>', '>', '<']",,,False
0.4427388357570259,0.1005717270094106,0.8999878340797443,0.8008130081300813,0.869757174392936,4.3537003215865315,9.253781763601593,4.149493202899829,"['>', '>', '<']",,,False
0.4426864956331783,0.1038708660305441,0.8999761982389172,0.8008130081300813,0.869757174392936,4.35365127455127,9.458848196744798,4.149486610816775,"['>', '>', '<']",,,False
0.4419702109843695,0.1024787817739342,0.8999545762122692,0.8008130081300813,0.869757174392936,4.352267110835178,9.384348099017211,4.1494743612339935,"['>', '>', '<']",,,False
0.4426864956331783,0.1079283506200847,0.8995329496500805,0.7967479674796748,0.8711111111111111,4.35365127455127,9.753093755562906,4.149235496045233,"['>', '>', '<']",,,False
0.4426864956331783,0.1080793913559806,0.8999294063545947,0.7967479674796748,0.8711111111111111,4.35365127455127,9.754150809892636,4.149460101689307,"['>', '>', '<']",,,False
0.4426864956331783,0.1080793913559806,0.899527817114575,0.7967479674796748,0.8711111111111111,4.35365127455127,9.754150809892636,4.149232588296594,"['>', '>', '<']",,,False
0.4548769331240578,0.1024692660319961,0.899986506670123,0.7926829268292683,0.8823529411764706,4.363502204986237,9.384178634540223,4.149492450879016,"['>', '>', '<']",,,False
0.4547731877740218,0.1000488640681403,0.8999917279030126,0.7926829268292683,0.8823529411764706,4.363398283875228,9.242806569055183,4.149495408877614,"['>', '>', '<']",,,False
0.4577704241894215,0.1016729063197652,0.899943277256607,0.790650406504065,0.884090909090909,4.368434018513089,9.364656471525558,4.149467960007365,"['>', '>', '<']",,,False
0.4577297404406122,0.1009423758263684,0.8999934993323728,0.790650406504065,0.884090909090909,4.368374617058281,9.282594951958124,4.1494964124500795,"['>', '>', '<']",,,False
0.4574746221486742,0.1018159297115388,0.8999796863164705,0.790650406504065,0.884090909090909,4.3680021244013085,9.37254346215294,4.149488586926389,"['>', '>', '<']",,,False
0.4594050212522409,0.1012400595996819,0.8999992127669386,0.7886178861788617,0.8858447488584474,4.369226281401713,9.316034189620996,4.149499649296969,"['>', '>', '<']",,,False
0.4594050212522409,0.1021402922751648,0.8998779326875337,0.7886178861788617,0.8858447488584474,4.369226281401713,9.378319988308917,4.149430940179332,"['>', '>', '<']",,,False
0.4594717297386333,0.1082355683537959,0.899976619233969,0.7845528455284553,0.8873563218390804,4.369279448317201,9.755243810206528,4.149486849324193,"['>', '>', '<']",,,False
0.4594717297386333,0.1080902182242237,0.899976619233969,0.7845528455284553,0.8873563218390804,4.369279448317201,9.75422658142464,4.149486849324193,"['>', '>', '<']",,,False
0.4594717297386333,0.1082355683537959,0.8998075368956051,0.7845528455284553,0.8873563218390804,4.369279448317201,9.755243810206528,4.149391058668928,"['>', '>', '<']",,,False
0.4645321272509369,0.1003396424636691,0.8998351459931248,0.782520325203252,0.8891454965357968,4.371782839353517,9.24891017519921,4.1494067001224835,"['>', '>', '<']",,,False
0.4645321272509369,0.1002597823463008,0.8996758959207387,0.782520325203252,0.8891454965357968,4.371782839353517,9.24723386529955,4.149316479766339,"['>', '>', '<']",,,False
0.4645321272509369,0.1012429820586998,0.8999452022343545,0.782520325203252,0.8891454965357968,4.371782839353517,9.316362473559934,4.149469050569996,"['>', '>', '<']",,,False
0.4647211922855809,0.1010886483381762,0.8999911240407733,0.782520325203252,0.8891454965357968,4.371795071407129,9.299025949292783,4.149495066769975,"['>', '>', '<']",,,False
0.4675871605619689,0.1019513997333022,0.8995404633182024,0.7804878048780488,0.8930232558139535,4.373063663456883,9.374956028249716,4.149239752783103,"['>', '>', '<']",,,False
0.4675871605619689,0.101840411614811,0.8999759404000218,0.7804878048780488,0.8930232558139535,4.373063663456883,9.372979456840548,4.149486464742638,"['>', '>', '<']",,,False
0.4716822673516466,0.1036669972921821,0.8999496345365511,0.7764227642276422,0.8946135831381733,4.376503237967049,9.44323843970068,4.149471561613644,"['>', '>', '<']",,,False
0.4718810881514656,0.1036657400646366,0.8999761024442319,0.7764227642276422,0.8946135831381733,4.377296822396785,9.443164507496446,4.1494865565459635,"['>', '>', '<']",,,False
0.4716822673516466,0.1013062897162745,0.8999496345365511,0.7764227642276422,0.8946135831381733,4.376503237967049,9.32347391192944,4.149471561613644,"['>', '>', '<']",,,False
0.4733565375209513,0.1001775441438363,0.8999791769238549,0.774390243902439,0.8964705882352941,4.378452914203811,9.245507638022854,4.149488298338871,"['>', '>', '<']",,,False
0.4735510480081585,0.1011366986731535,0.899995609380314,0.774390243902439,0.8964705882352941,4.378631233875529,9.304423511118896,4.149497607861007,"['>', '>', '<']",,,False
0.4733565375209513,0.1011987531573061,0.8999790943800283,0.774390243902439,0.8964705882352941,4.378452914203811,9.311394178752296,4.149488251575103,"['>', '>', '<']",,,False
0.4733565375209513,0.1080730821580875,0.8998759886335952,0.7703252032520326,0.8981042654028436,4.378452914203811,9.754106655149146,4.149429838809417,"['>', '>', '<']",,,False
0.4733565375209513,0.1080730821580875,0.8999738946480986,0.7703252032520326,0.8981042654028436,4.378452914203811,9.754106655149146,4.1494853057575,"['>', '>', '<']",,,False
